;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
24;AG_Top100_18;25;Angèle;Jalousie;Brol;2018-10-05;1;69;3U5x1rplpJNKR3Xg88EfLi;225706;0.588;0.443;7;-10.019;0;0.0411;0.811;6.16e-05;0.118;0.335;89.951;0.335;https://api.spotify.com/v1/tracks/3U5x1rplpJNKR3Xg88EfLi;4;spotify:track:3U5x1rplpJNKR3Xg88EfLi;['belgian pop']
25;AG_Top100_18;26;Radiohead;Desert Island Disk;A Moon Shaped Pool;2016-05-08;1;53;1kBGeOp1CDUHVdbK4ergqo;224698;0.561;0.282;0;-13.241;1;0.0286;0.868;0.529;0.11;0.158;112.011;0.158;https://api.spotify.com/v1/tracks/1kBGeOp1CDUHVdbK4ergqo;1;spotify:track:1kBGeOp1CDUHVdbK4ergqo;['alternative rock', 'art rock', 'melancholia', 'modern rock', 'permanent wave', 'rock']
26;AG_Top100_18;27;Alain Bashung;La nuit je mens;Fantaisie Militaire;1998-01-01;1;52;7AOmyblplMezwpYuuh9Ltr;264706;0.497;0.695;11;-7.562;0;0.03;0.0305;3.33e-05;0.373;0.565;146.949;0.565;https://api.spotify.com/v1/tracks/7AOmyblplMezwpYuuh9Ltr;4;spotify:track:7AOmyblplMezwpYuuh9Ltr;['chanson', 'french indie pop', 'french indietronica', 'french rock']
27;AG_Top100_18;28;Eminem;The Ringer;Kamikaze;2018-08-31;1;81;2jt2WxXMCD4zjACthkJQVE;337941;0.939;0.551;1;-9.126;1;0.291;0.0311;0.0;0.192;0.42;118.552;0.42;https://api.spotify.com/v1/tracks/2jt2WxXMCD4zjACthkJQVE;4;spotify:track:2jt2WxXMCD4zjACthkJQVE;['detroit hip hop', 'g funk', 'hip hop', 'rap']
28;AG_Top100_18;29;Air;Playground Love (with Gordon Tracks);The Virgin Suicides (Deluxe Version - 15th Anniversary);2000;1;57;0qSkffeyk2FEIumqDgsYP1;212693;0.353;0.422;7;-10.538;0;0.0277;0.249;0.852;0.301;0.135;142.912;0.135;https://api.spotify.com/v1/tracks/0qSkffeyk2FEIumqDgsYP1;4;spotify:track:0qSkffeyk2FEIumqDgsYP1;['alternative dance', 'downtempo', 'electronic', 'indietronica', 'new rave', 'trip hop']
29;AG_Top100_18;30;Joy Division;Love Will Tear Us Apart;The Best Of;2008-03-20;1;70;2JO3HwMRPeya8bXbtbyPcf;206866;0.443;0.956;2;-6.198;1;0.0511;5.24e-05;0.825;0.135;0.909;146.754;0.909;https://api.spotify.com/v1/tracks/2JO3HwMRPeya8bXbtbyPcf;4;spotify:track:2JO3HwMRPeya8bXbtbyPcf;['alternative rock', 'art rock', 'dance rock', 'garage rock', 'indie rock', 'madchester', 'modern rock', 'neo-psychedelic', 'new wave', 'post-punk', 'rock', 'uk post-punk']
30;AG_Top100_18;31;Sigur Rós;Ég anda;Valtari;2012-05-28;1;31;5TYp68p9u8j6dx1MxIYuts;375026;0.102;0.316;2;-11.085;1;0.0376;0.751;0.948;0.176;0.0297;83.396;0.0297;https://api.spotify.com/v1/tracks/5TYp68p9u8j6dx1MxIYuts;3;spotify:track:5TYp68p9u8j6dx1MxIYuts;['bow pop', 'chamber pop', 'compositional ambient', 'dream pop', 'ethereal wave', 'icelandic pop', 'icelandic rock', 'indie folk', 'melancholia', 'nordic post-rock', 'post-rock']
31;AG_Top100_18;32;Ramin Djawadi;Main Title Theme - Westworld;Westworld: Season 1 (Music from the HBO® Series);2016-12-05;1;56;2zzdnRWE3z6QP3FoVlnWHO;101461;0.468;0.363;5;-11.183;1;0.0286;0.657;0.927;0.11;0.06;111.222;0.06;https://api.spotify.com/v1/tracks/2zzdnRWE3z6QP3FoVlnWHO;3;spotify:track:2zzdnRWE3z6QP3FoVlnWHO;['german soundtrack', 'scorecore', 'soundtrack', 'video game music']
32;AG_Top100_18;33;Justin Timberlake;Cry Me a River;Justified;2002-11-04;1;43;3RRFywqWaZYOj87A4fLQrq;288333;0.582;0.654;8;-6.61;0;0.322;0.543;0.0;0.105;0.593;73.853;0.593;https://api.spotify.com/v1/tracks/3RRFywqWaZYOj87A4fLQrq;4;spotify:track:3RRFywqWaZYOj87A4fLQrq;['dance pop', 'pop']
33;AG_Top100_18;34;Portugal. The Man;Feel It Still;Woodstock;2017-06-16;1;83;6QgjcU0zLnzq5OrUoSZ3OK;163253;0.801;0.795;1;-5.115;0;0.0504;0.0417;0.000113;0.0717;0.754;79.028;0.754;https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK;4;spotify:track:6QgjcU0zLnzq5OrUoSZ3OK;['indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'neo-psychedelic']
