;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
24;MD_Top100_18;25;Kanye West;Yikes;ye;2018-06-01;1;54;2r4JRwcbIeuAzWjH4YXlLs;188773;0.676;0.777;1;-3.241;0;0.357;0.145;0.0;0.228;0.226;173.931;0.226;https://api.spotify.com/v1/tracks/2r4JRwcbIeuAzWjH4YXlLs;4;spotify:track:2r4JRwcbIeuAzWjH4YXlLs;['pop rap', 'rap']
25;MD_Top100_18;26;Khalid;Salem's Interlude;Suncity;2018-10-19;1;66;0v75ti1d2M6pd0sC42UNNN;81933;0.479;0.485;7;-12.302;0;0.162;0.963;0.658;0.152;0.457;80.933;0.457;https://api.spotify.com/v1/tracks/0v75ti1d2M6pd0sC42UNNN;4;spotify:track:0v75ti1d2M6pd0sC42UNNN;['pop']
26;MD_Top100_18;27;DJ Snake;Taki Taki (with Selena Gomez, Ozuna & Cardi B);Taki Taki (with Selena Gomez, Ozuna & Cardi B);2018-09-28;1;98;4w8niZpiMy6qz1mntFA5uM;212500;0.841;0.798;1;-4.206;0;0.229;0.153;3.33e-06;0.0618;0.591;95.948;0.591;https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM;4;spotify:track:4w8niZpiMy6qz1mntFA5uM;['dance pop', 'edm', 'electronic trap', 'pop', 'tropical house']
27;MD_Top100_18;28;Social House;Magic In The Hamptons (feat. Lil Yachty);Magic In The Hamptons (feat. Lil Yachty);2018-06-08;1;77;2Yer0p7uB2lVBUAtANuuQp;164640;0.769;0.479;1;-5.339;1;0.0385;0.66;0.0;0.0914;0.803;96.051;0.803;https://api.spotify.com/v1/tracks/2Yer0p7uB2lVBUAtANuuQp;4;spotify:track:2Yer0p7uB2lVBUAtANuuQp;['pop rap']
28;MD_Top100_18;29;Kacey Musgraves;Space Cowboy;Golden Hour;2018-03-30;1;64;5bum4HbCDFoB9wpsc0sQky;216280;0.447;0.429;1;-7.36;1;0.028;0.718;0.0163;0.105;0.074;116.521;0.074;https://api.spotify.com/v1/tracks/5bum4HbCDFoB9wpsc0sQky;4;spotify:track:5bum4HbCDFoB9wpsc0sQky;['contemporary country', 'country dawn']
29;MD_Top100_18;30;Jason Aldean;You Make It Easy;You Make It Easy;2018-01-26;1;74;2ZxTjs4EdJl4Y9YByIiNoo;196800;0.375;0.574;7;-5.305;1;0.0315;0.143;0.0;0.11;0.406;132.025;0.406;https://api.spotify.com/v1/tracks/2ZxTjs4EdJl4Y9YByIiNoo;3;spotify:track:2ZxTjs4EdJl4Y9YByIiNoo;['contemporary country', 'country', 'country road']
30;MD_Top100_18;31;Chris Young;The Shoebox;The Man I Want To Be;2009-08-27;1;35;2PqD5ni1KwL8hVnuahkGkP;225720;0.597;0.627;10;-7.445;1;0.0579;0.775;9.58e-05;0.131;0.438;77.007;0.438;https://api.spotify.com/v1/tracks/2PqD5ni1KwL8hVnuahkGkP;4;spotify:track:2PqD5ni1KwL8hVnuahkGkP;['canadian contemporary country', 'contemporary country', 'country', 'country road', 'modern country rock']
31;MD_Top100_18;32;Post Malone;Psycho (feat. Ty Dolla $ign);beerbongs & bentleys;2018-04-27;1;89;3swc6WTsr7rl9DqQKQA55C;221440;0.739;0.559;8;-8.011;1;0.117;0.58;0.0;0.112;0.439;140.124;0.439;https://api.spotify.com/v1/tracks/3swc6WTsr7rl9DqQKQA55C;4;spotify:track:3swc6WTsr7rl9DqQKQA55C;['pop', 'rap']
32;MD_Top100_18;33;Joe Nichols;Tequila Makes Her Clothes Fall Off;Greatest Hits;2011;1;59;33AQv3sfvHmtGfYNIJpi96;187066;0.658;0.776;2;-5.651;1;0.0308;0.184;1.52e-06;0.0888;0.731;93.941;0.731;https://api.spotify.com/v1/tracks/33AQv3sfvHmtGfYNIJpi96;4;spotify:track:33AQv3sfvHmtGfYNIJpi96;['canadian contemporary country', 'contemporary country', 'country', 'country road', 'modern country rock']
33;MD_Top100_18;34;Chris Stapleton;Tennessee Whiskey;Traveller;2015-05-04;1;76;3fqwjXwUGN6vbzIwvyFMhx;293293;0.392;0.37;9;-10.888;1;0.0298;0.205;0.0096;0.0821;0.512;48.718;0.512;https://api.spotify.com/v1/tracks/3fqwjXwUGN6vbzIwvyFMhx;4;spotify:track:3fqwjXwUGN6vbzIwvyFMhx;['contemporary country']
34;MD_Top100_18;35;Dixie Chicks;Wide Open Spaces;The Essential Dixie Chicks;2010;2;38;6BZDcpo2OSR0fRwR1ltTvh;223573;0.69;0.523;4;-6.706;1;0.0247;0.475;0.0;0.101;0.535;89.948;0.535;https://api.spotify.com/v1/tracks/6BZDcpo2OSR0fRwR1ltTvh;4;spotify:track:6BZDcpo2OSR0fRwR1ltTvh;['contemporary country', 'country', 'country dawn', 'pop rock']
35;MD_Top100_18;36;Kanye West;Wouldn't Leave;ye;2018-06-01;1;47;3dG6tjetoR4GMmUGZUprLt;205546;0.555;0.433;3;-8.559;1;0.546;0.494;0.0;0.313;0.352;164.236;0.352;https://api.spotify.com/v1/tracks/3dG6tjetoR4GMmUGZUprLt;4;spotify:track:3dG6tjetoR4GMmUGZUprLt;['pop rap', 'rap']
36;MD_Top100_18;37;Jon Pardi;Heartache On The Dance Floor;California Sunrise;2016-05-13;1;73;0w3Q14i073jLoew1hgJkwD;205200;0.594;0.824;9;-4.252;1;0.0458;0.0617;0.0;0.0861;0.671;116.005;0.671;https://api.spotify.com/v1/tracks/0w3Q14i073jLoew1hgJkwD;4;spotify:track:0w3Q14i073jLoew1hgJkwD;['contemporary country', 'country', 'country road', 'modern country rock']
37;MD_Top100_18;38;Aqua;Barbie Girl;Aquarium;1997-01-01;1;62;2RSOzvKUnfDDrb2nQPfpQU;197773;0.814;0.955;1;-5.905;0;0.0377;0.0146;0.283;0.218;0.963;129.992;0.963;https://api.spotify.com/v1/tracks/2RSOzvKUnfDDrb2nQPfpQU;4;spotify:track:2RSOzvKUnfDDrb2nQPfpQU;['bubblegum dance', 'dance pop', 'eurodance', 'europop']
38;MD_Top100_18;39;Yo Gotti;Down In the DM - Remix;The Art of Hustle (Deluxe);2016-02-19;1;55;5w1vhNA2OEWUQ371QzyMmM;259072;0.791;0.634;1;-7.684;0;0.0639;0.00243;5.43e-05;0.0812;0.323;152.961;0.323;https://api.spotify.com/v1/tracks/5w1vhNA2OEWUQ371QzyMmM;4;spotify:track:5w1vhNA2OEWUQ371QzyMmM;['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']
