;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
25;LB_Top100_18;26;Post Malone;rockstar (feat. 21 Savage);beerbongs & bentleys;2018-04-27;1;91;0e7ipj03S05BNilyu5bRzt;218146;0.587;0.535;5;-6.09;0;0.0898;0.117;6.56e-05;0.131;0.14;159.847;0.14;https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt;4;spotify:track:0e7ipj03S05BNilyu5bRzt;['pop', 'rap']
26;LB_Top100_18;27;Dub Inc.;My Freestyle;Diversité;2003-09-01;1;44;4j4Xt8K45dJU8NEwIoPFeu;308520;0.818;0.798;5;-5.825;0;0.107;0.254;0;0.0803;0.865;98.006;0.865;https://api.spotify.com/v1/tracks/4j4Xt8K45dJU8NEwIoPFeu;4;spotify:track:4j4Xt8K45dJU8NEwIoPFeu;['french reggae']
27;LB_Top100_18;28;Dry;Mon défaut (feat. Sexion d'Assaut);Tôt ou tard;2012;1;5;7MweoK74sXq4aiOwFa6THY;280200;0.974;0.551;3;-3.403;0;0.0407;0.126;0;0.077;0.736;115.958;0.736;https://api.spotify.com/v1/tracks/7MweoK74sXq4aiOwFa6THY;4;spotify:track:7MweoK74sXq4aiOwFa6THY;['francoton', 'french hip hop', 'french pop', 'trap francais']
28;LB_Top100_18;29;Naâman;Turn Me Loose;Rays of Resistance;2015-10-30;1;40;0T2s5kMfFe8k0QFyjP8PZr;202093;0.832;0.609;0;-5.164;1;0.1;0.447;0;0.275;0.709;92.002;0.709;https://api.spotify.com/v1/tracks/0T2s5kMfFe8k0QFyjP8PZr;4;spotify:track:0T2s5kMfFe8k0QFyjP8PZr;['french reggae']
29;LB_Top100_18;30;Daniel Balavoine;Mon fils ma bataille;Un autre monde;1980;1;58;5TWou9aiZuH1nETXYbf8eO;251746;0.691;0.718;10;-6.132;1;0.0268;0.332;6.94e-06;0.115;0.781;115.11;0.781;https://api.spotify.com/v1/tracks/5TWou9aiZuH1nETXYbf8eO;4;spotify:track:5TWou9aiZuH1nETXYbf8eO;['chanson', 'french pop']
30;LB_Top100_18;31;Enrique Iglesias;SUBEME LA RADIO;SUBEME LA RADIO;2017-02-24;1;75;7nKBxz47S9SD79N086fuhn;208162;0.684;0.823;9;-3.297;0;0.0773;0.0744;0;0.111;0.647;91.048;0.647;https://api.spotify.com/v1/tracks/7nKBxz47S9SD79N086fuhn;4;spotify:track:7nKBxz47S9SD79N086fuhn;['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']
31;LB_Top100_18;32;S.Pri Noir;Juste pour voir;Masque blanc;2018-05-11;1;68;0JOJx8jx0dWZk33MsvRZrB;226413;0.712;0.617;3;-7.144;0;0.374;0.393;0;0.126;0.477;147.891;0.477;https://api.spotify.com/v1/tracks/0JOJx8jx0dWZk33MsvRZrB;4;spotify:track:0JOJx8jx0dWZk33MsvRZrB;['francoton', 'french hip hop', 'trap francais']
32;LB_Top100_18;33;La Chanson Du Dimanche;O Barack;Plante Un Arbre;2009-01-01;1;26;3yiO3kU3xhQ0kIrdMlVT9p;214186;0.798;0.88;0;-6.591;1;0.0488;0.0657;1.75e-06;0.374;0.904;115.967;0.904;https://api.spotify.com/v1/tracks/3yiO3kU3xhQ0kIrdMlVT9p;4;spotify:track:3yiO3kU3xhQ0kIrdMlVT9p;['french folk pop', 'french rock']
33;LB_Top100_18;34;Damso;Aux paradis;Lithopédion;2018-06-15;1;53;7KpaIREkfpgRuY8OmGwqh9;168986;0.477;0.764;11;-5.086;0;0.17;0.00691;0.002;0.0726;0.723;97.163;0.723;https://api.spotify.com/v1/tracks/7KpaIREkfpgRuY8OmGwqh9;3;spotify:track:7KpaIREkfpgRuY8OmGwqh9;['belgian hip hop', 'french hip hop', 'rap conscient', 'trap francais']
34;LB_Top100_18;35;Kendrick Lamar;YAH.;DAMN.;2017-04-14;1;66;4BHSjbYylfOH5WAGusDyni;160293;0.67;0.7;1;-7.893;1;0.196;0.576;5.34e-06;0.226;0.648;69.986;0.648;https://api.spotify.com/v1/tracks/4BHSjbYylfOH5WAGusDyni;4;spotify:track:4BHSjbYylfOH5WAGusDyni;['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']
35;LB_Top100_18;36;De Palmas;Une seule vie (Marcher dans le sable);Marcher Dans Le Sable;2000-01-01;1;0;7w0ykv4ecMsQ5w59z0mYgx;186013;0.65;0.694;0;-5.476;1;0.0248;0.0112;8.81e-06;0.0778;0.798;100.988;0.798;https://api.spotify.com/v1/tracks/7w0ykv4ecMsQ5w59z0mYgx;4;spotify:track:7w0ykv4ecMsQ5w59z0mYgx;['chanson', 'french pop']
