;Unnamed: 0;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence.1;Track_href;Time_signature;uri;Genres;User
660;60;MC_Top100_18;61;Christine and the Queens;Damn, dis-moi (feat. Dâm-Funk);Damn, dis-moi (feat. Dâm-Funk);2018-05-17;1;19;2mBEeHZ9n01x1qbfHggyl5;201066;0.81;0.61;0;-5.959;0;0.0401;0.0317;0.0035700000000000003;0.121;0.763;110.024;0.763;https://api.spotify.com/v1/tracks/2mBEeHZ9n01x1qbfHggyl5;4;spotify:track:2mBEeHZ9n01x1qbfHggyl5;['art pop', 'metropopolis', 'shimmer pop'];MC
661;61;MC_Top100_18;62;Jorja Smith;Where Did I Go?;Lost & Found;2018-06-08;1;45;0dJwMcIO8o9OymbA5p9OtP;191992;0.71;0.597;5;-9.529;1;0.0872;0.387;0.214;0.0849;0.358;97.081;0.358;https://api.spotify.com/v1/tracks/0dJwMcIO8o9OymbA5p9OtP;4;spotify:track:0dJwMcIO8o9OymbA5p9OtP;['indie r&b', 'pop', 'r&b', 'uk contemporary r&b'];MC
662;62;MC_Top100_18;63;Jungle;Busy Earnin';Jungle;2014-07-14;1;61;3g86N0SqyfxEVNMHlmW3RE;181772;0.457;0.883;10;-5.61;0;0.0376;0.209;5.11e-06;0.0912;0.736;99.93700000000001;0.736;https://api.spotify.com/v1/tracks/3g86N0SqyfxEVNMHlmW3RE;4;spotify:track:3g86N0SqyfxEVNMHlmW3RE;['uk contemporary r&b'];MC
663;63;MC_Top100_18;64;The Rubens;Be Gone;The Rubens;2012;1;18;6KKrvMuXGmbsFRgUvQ2J3u;179560;0.262;0.892;4;-3.8280000000000003;1;0.0529;0.0061200000000000004;0.00519;0.37799999999999995;0.344;74.433;0.344;https://api.spotify.com/v1/tracks/6KKrvMuXGmbsFRgUvQ2J3u;4;spotify:track:6KKrvMuXGmbsFRgUvQ2J3u;['australian indie', 'australian pop'];MC
664;64;MC_Top100_18;65;L'Impératrice;Sonate pacifique;Sonate pacifique - EP;2014-09-16;1;58;5Cs03vgzmWuvz7wXkm4gJ9;348944;0.557;0.534;5;-8.863;1;0.0328;0.627;0.0192;0.425;0.226;99.99;0.226;https://api.spotify.com/v1/tracks/5Cs03vgzmWuvz7wXkm4gJ9;4;spotify:track:5Cs03vgzmWuvz7wXkm4gJ9;['filter house', 'french indie pop', 'french indietronica'];MC
665;65;MC_Top100_18;66;Elton John;Rocket Man (I Think It's Going To Be A Long, Long Time);Honky Chateau;1972-05-19;1;78;3gdewACMIVMEWVbyb8O9sY;281613;0.602;0.522;10;-9.031;1;0.0285;0.386;1.4400000000000001e-05;0.0941;0.36;136.637;0.36;https://api.spotify.com/v1/tracks/3gdewACMIVMEWVbyb8O9sY;4;spotify:track:3gdewACMIVMEWVbyb8O9sY;['glam rock', 'mellow gold', 'piano rock', 'rock', 'soft rock'];MC
666;66;MC_Top100_18;67;ZAYN;Sour Diesel;Sour Diesel;2018-07-18;1;54;4N6KSqFCkI0SMunnlMUJnF;241644;0.6709999999999999;0.8079999999999999;4;-4.385;0;0.0423;0.00251;0.00686;0.0875;0.518;94.98899999999999;0.518;https://api.spotify.com/v1/tracks/4N6KSqFCkI0SMunnlMUJnF;4;spotify:track:4N6KSqFCkI0SMunnlMUJnF;['dance pop', 'electropop', 'pop', 'post-teen pop'];MC
667;67;MC_Top100_18;68;-M-;Bal de Bamako (Live);Lamomali Airlines (Live);2017-11-24;1;32;5kZMZVMZ3JcSzSroTcOHfd;321486;0.523;0.858;1;-7.71;0;0.204;0.0387;4.4e-05;0.7390000000000001;0.498;110.936;0.498;https://api.spotify.com/v1/tracks/5kZMZVMZ3JcSzSroTcOHfd;4;spotify:track:5kZMZVMZ3JcSzSroTcOHfd;['chanson', 'french indie pop', 'french reggae', 'french rock'];MC
668;68;MC_Top100_18;69;Eddy de Pretto;Kid;Cure;2018-03-02;1;64;1EIhcoMZ3See5L28kNvuFe;184840;0.7140000000000001;0.5489999999999999;9;-8.279;1;0.172;0.0494;0.0;0.226;0.414;143.906;0.414;https://api.spotify.com/v1/tracks/1EIhcoMZ3See5L28kNvuFe;4;spotify:track:1EIhcoMZ3See5L28kNvuFe;['french indie pop', 'french indietronica', 'pop quebecois'];MC
669;69;MC_Top100_18;70;Juliette Armanet;Star Triste;Petite Amie (Deluxe);2018-02-02;1;5;2yintwRkg2u7aFd35279au;237360;0.7190000000000001;0.565;7;-7.611000000000001;1;0.0314;0.6659999999999999;0.00011899999999999999;0.11;0.512;143.821;0.512;https://api.spotify.com/v1/tracks/2yintwRkg2u7aFd35279au;4;spotify:track:2yintwRkg2u7aFd35279au;['chanson', 'french indie pop', 'french indietronica'];MC
670;70;MC_Top100_18;71;Liam Gallagher;For What It's Worth;As You Were (Deluxe Edition);2017-10-06;1;59;5Ih40KFkj3cSzxgisQxBvX;251631;0.489;0.835;0;-4.448;1;0.0332;0.00746;0.0;0.146;0.444;145.885;0.444;https://api.spotify.com/v1/tracks/5Ih40KFkj3cSzxgisQxBvX;4;spotify:track:5Ih40KFkj3cSzxgisQxBvX;['britpop', 'indie rock', 'rock'];MC
